# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 235:         4.781       52.928       1.20  DE KOOY
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 290:         6.891       52.274      34.80  TWENTHE
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# DR       = Duur van de neerslag (in 0.1 uur); 
# 
# STN,YYYYMMDD,   FG,   TG,   DR
# 
  270,20171031,   40,  101,   25
  290,20171001,   46,  137,    0
  290,20171002,   64,  152,   26
  290,20171003,   48,  128,    2
  290,20171004,   60,  123,   10
  290,20171005,   72,  120,   94
  290,20171006,   47,  107,   29
  290,20171007,   55,  109,   96
  290,20171008,   29,  105,    6
  290,20171009,   27,   99,   34
  290,20171010,   46,  137,   16
  290,20171011,   60,  143,   12
  290,20171012,   52,  128,    0
  290,20171013,   35,  145,    0
  290,20171014,   35,  154,    0
  290,20171015,   32,  161,    0
  290,20171016,   40,  186,    0
  290,20171017,   30,  132,    0
  290,20171018,   17,  132,    0
  290,20171019,   26,  152,    0
  290,20171020,   58,  140,   55
  290,20171021,   44,  125,   11
  290,20171022,   58,  105,   75
  290,20171023,   45,  106,    1
  290,20171024,   48,  144,   29
  290,20171025,   45,  142,    0
  290,20171026,   34,  133,   12
  290,20171027,   40,  109,    2
  290,20171028,   68,  111,   75
  290,20171029,   65,   94,   24
  290,20171030,   25,   67,    3
  290,20171031,   40,   84,   39
  370,20171001,   48,  145,    1
  370,20171002,   60,  158,   29
  370,20171003,   44,  129,    7
  370,20171004,   56,  126,    3
  370,20171005,   64,  123,   54
  370,20171006,   39,  105,   25
  370,20171007,   62,  110,   67
  370,20171008,   21,  120,    9
  370,20171009,   27,  125,    4
  370,20171010,   49,  145,    0
  370,20171011,   62,  147,    0
  370,20171012,   42,  129,    0
  370,20171013,   34,  153,    0
  370,20171014,   25,  155,    0
  370,20171015,   27,  165,    0
  370,20171016,   32,  190,    0
  370,20171017,   20,  141,    0
  370,20171018,   19,  148,    0
  370,20171019,   30,  167,    4
  370,20171020,   63,  139,    7
  370,20171021,   52,  134,    7
  370,20171022,   67,  103,   58
  370,20171023,   45,  119,    0
  370,20171024,   47,  150,   33
  370,20171025,   41,  143,    0
  370,20171026,   25,  134,   18
  370,20171027,   32,  113,    0
  370,20171028,   60,  112,   48
  370,20171029,   55,  100,   34
  370,20171030,   24,   76,    0
  370,20171031,   42,   92,    0
  380,20171001,   48,  141,    0
  380,20171002,   64,  156,   45
  380,20171003,   37,  120,   13
  380,20171004,   50,  120,    0
  380,20171005,   63,  120,   29
  380,20171006,   34,  101,    5
  380,20171007,   60,  100,   70
  380,20171008,   24,  118,   46
  380,20171009,   25,  125,    0
  380,20171010,   45,  138,   15
  380,20171011,   58,  143,    0
  380,20171012,   44,  135,    2
  380,20171013,   37,  156,    0
  380,20171014,   32,  163,    0
  380,20171015,   30,  171,    0
  380,20171016,   44,  192,    0
  380,20171017,   20,  149,    0
  380,20171018,   22,  149,    0
  380,20171019,   29,  168,    2
  380,20171020,   64,  137,   17
  380,20171021,   61,  132,   12
  380,20171022,   61,  100,   26
  380,20171023,   44,  114,    0
  380,20171024,   45,  140,   45
  380,20171025,   42,  150,    0
  380,20171026,   25,  142,   20
  380,20171027,   30,  110,    5
  380,20171028,   53,   98,   41
  380,20171029,   45,   92,   34
  380,20171030,   20,   70,    0
  380,20171031,   43,   84,    4
